ID,Site name,Longitude,Latitude,Altitude,Pinus
4874,Wen_F-HLs20,119.08 ,49.31 ,647,4.7493 
4875,Wen_F-HLs21,119.62 ,49.33 ,633,3.3981 
4876,Wen_F-HLs22,120.05 ,49.20 ,623,8.4184 
4877,Wen_F-HLs23,120.50 ,49.25 ,702,3.5176 
4878,Wen_F-HLs24,122.21 ,49.72 ,872,1.1338 
4879,Wen_F-HLs25,122.17 ,49.74 ,865,0.9592 
4880,Wen_F-HLs26,122.06 ,49.71 ,819,1.4257 
4881,Wen_F-HLs27,121.89 ,49.66 ,797,0.0000 
4882,Wen_F-HLs28,121.56 ,49.64 ,752,0.3922 
4883,Wen_F-HLs29,121.19 ,49.42 ,690,5.3371 
4884,Wen_F-HLs30,120.93 ,49.31 ,684,27.2727 
4885,Wen_F-HLs31,120.57 ,49.26 ,699,15.6942 
4886,Wen_F-HLs32,119.70 ,49.41 ,612,4.4444 
4887,Wen_F-HLs33,119.86 ,49.73 ,717,5.5703 
4888,Wen_F-HLs34,120.15 ,50.04 ,684,9.8985 
4889,Wen_F-HLs35,120.28 ,50.35 ,610,5.2897 
4890,Wen_F-HLs36,120.77 ,50.44 ,678,0.6276 
4891,Wen_F-HLs37,120.90 ,50.48 ,722,8.1481 
4892,Wen_F-HLs38,120.96 ,50.52 ,740,0.9881 
4893,Wen_F-HLs39,121.15 ,50.62 ,673,0.4310 
4894,Wen_F-HLs40,121.49 ,50.75 ,737,0.7181 
4895,Wen_F-HLs41,121.41 ,50.72 ,695,2.0492 
4896,Wen_F-HLs42,120.07 ,50.21 ,562,8.5995 
4897,Wen_F-HLs43,119.60 ,50.22 ,536,5.2897 
4898,Wen_F-HLs44,119.39 ,50.19 ,527,13.8889 
4899,Wen_F-HLs45,119.04 ,49.96 ,525,0.4396 
4900,Wen_F-HLs46,118.66 ,49.83 ,531,4.7980 
4901,Wen_F-HLs47,118.29 ,49.70 ,544,0.4474 
4902,Wen_F-HLs48,118.01 ,49.53 ,577,3.3632 
4903,Wen_F-HLs49,119.73 ,49.06 ,629,5.1522 
4904,Wen_F-HLs50,119.78 ,48.74 ,670,7.1429 
4905,Wen_F-HLs51,119.78 ,48.41 ,694,35.0140 
4906,Wen_F-HLs52,119.80 ,48.37 ,730,17.6617 
4907,Wen_F-HLs53,119.76 ,48.22 ,846,41.8539 
4908,Wen_F-HLs54,119.65 ,48.06 ,808,47.5104 
4909,Wen_F-HLs55,119.48 ,47.85 ,895,45.6476 
4910,Wen_F-HLs56,119.33 ,47.74 ,872,13.3333 
4911,Lichunhai_2,109.93 ,35.62 ,1357,19.8944 
4912,Lichunhai_3,109.93 ,35.62 ,1368,65.6192 
4913,Lichunhai_4,109.93 ,35.62 ,1447,14.6288 
4914,Lichunhai_5,109.93 ,35.61 ,1360,32.8632 
4915,Lichunhai_6,107.89 ,34.08 ,800,30.4432 
4916,Lichunhai_7,107.89 ,34.05 ,1080,48.5327 
4917,Lichunhai_8,107.88 ,34.05 ,1200,17.4850 
4918,Lichunhai_9,107.81 ,34.00 ,3220,26.9022 
4919,Lichunhai_10,107.81 ,34.00 ,3380,19.5556 
4920,Lichunhai_11,107.81 ,34.00 ,3500,16.4363 
4921,Lichunhai_12,107.80 ,34.00 ,3560,26.0749 
4922,Lichunhai_13,107.81 ,34.01 ,3200,13.5563 
4923,Lichunhai_14,108.80 ,34.01 ,3110,31.0345 
4924,Lichunhai_15,107.81 ,34.01 ,2900,23.4671 
4925,Lichunhai_16,107.82 ,34.01 ,2500,48.2546 
4926,Lichunhai_17,107.82 ,34.01 ,2200,27.7927 
4927,Lichunhai_18,107.97 ,34.01 ,1800,45.3620 
4928,Lichunhai_20,106.35 ,34.44 ,1570,28.7390 
4929,Lichunhai_22,106.35 ,34.44 ,1680,42.3077 
4930,Lichunhai_23,106.35 ,34.43 ,1655,46.7181 
4931,Lichunhai_24,106.36 ,34.45 ,1450,12.1314 
4932,Lichunhai_25,106.37 ,34.45 ,1370,74.1551 
4933,Lichunhai_26,106.40 ,34.52 ,1300,52.4691 
4934,Lichunhai_27,104.57 ,34.62 ,2068,3.4121 
4935,Lichunhai_28,104.63 ,34.63 ,2102,4.6429 
4936,Lichunhai_29,104.47 ,34.64 ,2460,31.3514 
4937,Lichunhai_30,104.47 ,34.64 ,2400,46.2541 
4938,Lichunhai_32,104.46 ,34.63 ,2320,36.3229 
4939,Lichunhai_33,104.46 ,34.63 ,2280,80.2532 
4940,Lichunhai_36,104.24 ,34.99 ,2240,15.7658 
4941,Lichunhai_37,104.24 ,34.99 ,2240,79.6000 
4942,Lichunhai_38,104.24 ,34.99 ,2310,80.9735 
4943,Lichunhai_39,104.24 ,34.99 ,2360,70.0000 
4944,Lichunhai_42,104.24 ,34.99 ,2400,29.5775 
4945,Lichunhai_43,104.24 ,34.99 ,2360,81.0897 
4946,Lichunhai_44,104.13 ,35.05 ,2330,75.9591 
4947,Lichunhai_48,101.93 ,35.28 ,2990,5.6604 
4948,Lichunhai_49,101.89 ,35.26 ,3190,3.6765 
4949,Lichunhai_50,101.89 ,35.26 ,3130,4.1379 
4950,Lichunhai_51,101.90 ,35.26 ,3340,5.1852 
4951,Lichunhai_52,101.90 ,35.26 ,3400,4.3210 
4952,Lichunhai_53,101.90 ,35.26 ,3400,2.7855 
4953,Lichunhai_55,101.93 ,35.27 ,3030,5.2632 
4954,Lichunhai_56,101.85 ,35.23 ,3600,9.3023 
4955,Lichunhai_57,101.85 ,35.23 ,3640,5.3254 
4956,Lichunhai_58,101.85 ,35.23 ,3645,10.8761 
4957,Lichunhai_59,101.62 ,35.08 ,3770,1.1858 
4958,Lichunhai_60,101.45 ,35.04 ,3670,17.1429 
4959,Lichunhai_61,101.72 ,36.10 ,2770,23.8426 
4960,Lichunhai_62,101.72 ,36.10 ,2700,34.5196 
4961,Lichunhai_64,101.70 ,36.09 ,2940,5.3942 
4962,Lichunhai_65,101.71 ,36.09 ,2820,6.1311 
4963,Lichunhai_66,101.71 ,36.09 ,2800,18.0157 
4964,Lichunhai_67,101.67 ,36.10 ,2610,88.2175 
4965,Lichunhai_68,104.06 ,34.79 ,3020,60.5081 
4966,Lichunhai_69,104.06 ,34.79 ,3020,8.5979 
4967,Lichunhai_70,104.06 ,34.80 ,2900,15.2344 
4968,Lichunhai_71,104.06 ,35.80 ,2900,26.4901 
4969,Lichunhai_72,104.06 ,35.80 ,2550,22.9794 
4970,Lichunhai_74,104.06 ,35.80 ,2420,15.5499 
4971,Lichunhai_75,104.06 ,35.80 ,2200,22.9508 
4972,Lichunhai_77,105.80 ,36.84 ,1640,4.8780 
4973,Lichunhai_78,105.38 ,36.59 ,2200,7.6389 
4974,Lichunhai_79,106.16 ,35.65 ,1990,8.1890 
4975,Lichunhai_80,106.20 ,35.65 ,2440,26.9488 
4976,Lichunhai_81,106.34 ,35.38 ,2150,44.6043 
4977,Lichunhai_82,106.34 ,35.39 ,2040,40.5455 
4978,Lichunhai_83,106.34 ,35.39 ,1970,16.5064 
4979,Peyron_C104,129.37 ,61.98 ,290,45.8495 
4980,Peyron_C122,31.23 ,58.30 ,18,44.8776 
4981,Peyron_C139,39.00 ,61.00 ,120,42.8000 
4982,Peyron_C155,129.55 ,61.30 ,260,43.9219 
4983,Peyron_C156,34.92 ,61.72 ,33,63.0000 
4984,Peyron_C157,124.12 ,57.03 ,700,36.6293 
4985,Peyron_C159,34.92 ,61.72 ,33,70.7813 
4986,Peyron_C160,56.08 ,56.05 ,132,36.3640 
4987,Peyron_C255,70.22 ,53.03 ,435,37.7690 
4988,Peyron_C256,70.42 ,52.97 ,439,30.0397 
4989,Peyron_C257,75.40 ,49.37 ,871,40.8618 
4990,Peyron_C259,62.37 ,55.53 ,275,49.0205 
4991,Peyron_C261,31.98 ,56.00 ,175,25.8930 
4992,Peyron_C262,32.00 ,56.20 ,175,35.5260 
4993,Peyron_C269,39.45 ,57.18 ,95,20.6346 
4994,Peyron_C270,39.83 ,52.25 ,95,80.2920 
4995,Peyron_C276,59.98 ,44.42 ,53,7.7948 
4996,Peyron_C277,32.77 ,62.03 ,121,25.2907 
4997,Peyron_C278,33.85 ,62.32 ,66,30.8826 
4998,Peyron_C279,36.05 ,61.07 ,50,39.6780 
4999,Peyron_C280,33.80 ,62.20 ,110,37.5285 
5000,Peyron_C281,32.17 ,65.08 ,124,69.5645 
5001,Peyron_C282,33.65 ,62.28 ,117,36.5084 
5002,Peyron_C283,30.53 ,64.57 ,207,58.7178 
5003,Peyron_C284,30.70 ,66.37 ,190,29.8343 
5004,Peyron_C285,33.48 ,61.81 ,100,32.3540 
5005,Peyron_C286,30.83 ,64.57 ,163,50.1740 
5006,Peyron_C287,30.57 ,66.35 ,120,28.6896 
5007,Peyron_C288,33.58 ,62.82 ,157,49.6322 
5008,Peyron_C289,32.63 ,64.08 ,140,56.2696 
5009,Peyron_C290,32.63 ,65.12 ,100,63.0656 
5010,Peyron_C291,34.33 ,65.83 ,10,38.6500 
5011,Peyron_C292,36.25 ,63.90 ,20,45.5030 
5012,Peyron_C293,32.63 ,65.12 ,110,43.9996 
5013,Peyron_C300,95.35 ,79.45 ,665,65.5357 
5014,Peyron_C311,60.75 ,56.77 ,230,80.7356 
5015,Peyron_C312,88.17 ,58.33 ,150,71.0040 
5016,Peyron_C313,85.17 ,56.25 ,110,42.2497 
5017,Peyron_C314,57.88 ,56.32 ,220,40.7774 
5018,Peyron_C315,59.27 ,54.90 ,720,45.7630 
5019,Peyron_C319,106.63 ,50.95 ,500,63.8550 
5020,Peyron_C320,111.67 ,52.58 ,947,49.7560 
5021,Peyron_C332,37.52 ,66.38 ,138,6.5710 
5022,Peyron_C333,33.67 ,67.83 ,220,24.7022 
5023,Peyron_C345,32.62 ,46.52 ,4,21.7692 
5024,Peyron_Conn1,44.02 ,41.64 ,1550,9.8587 
5025,Peyron_Conn10,44.83 ,41.81 ,530,4.8129 
5026,Peyron_Conn11,44.74 ,41.84 ,570,4.9769 
5027,Peyron_Conn12,44.74 ,41.84 ,570,17.7592 
5028,Peyron_Conn13,43.93 ,41.32 ,2634,12.8788 
5029,Peyron_Conn14,43.93 ,41.32 ,2633,10.6080 
5030,Peyron_Conn15,44.72 ,41.69 ,1100,11.4078 
5031,Peyron_Conn16,44.17 ,41.66 ,1630,9.6131 
5032,Peyron_Conn17,45.32 ,41.57 ,800,0.3541 
5033,Peyron_Conn18,45.32 ,41.57 ,800,0.4750 
5034,Peyron_Conn19,45.32 ,41.57 ,800,0.3381 
5035,Peyron_Conn2,44.02 ,41.64 ,1550,4.6934 
5036,Peyron_Conn20,45.32 ,41.57 ,800,0.3840 
5037,Peyron_Conn21,44.86 ,41.59 ,469,4.6513 
5038,Peyron_Conn22,44.85 ,41.59 ,469,1.8232 
5039,Peyron_Conn23,44.84 ,41.58 ,469,0.1960 
5040,Peyron_Conn24,44.72 ,41.69 ,1100,4.3620 
5041,Peyron_Conn25,44.72 ,41.69 ,1100,17.5306 
5042,Peyron_Conn26,44.72 ,41.69 ,1100,10.4682 
5043,Peyron_Conn27,44.72 ,41.69 ,1100,7.0833 
5044,Peyron_Conn28,44.37 ,41.57 ,1430,6.7023 
5045,Peyron_Conn29,44.37 ,41.57 ,1430,5.5681 
5046,Peyron_Conn3,44.02 ,41.64 ,1550,5.2872 
5047,Peyron_Conn30,44.37 ,41.57 ,1430,5.5899 
5048,Peyron_Conn31,44.37 ,41.57 ,1430,2.8931 
5049,Peyron_Conn32,44.12 ,41.53 ,1520,4.5031 
5050,Peyron_Conn33,44.12 ,41.53 ,1520,4.7742 
5051,Peyron_Conn34,44.12 ,41.53 ,1520,3.4546 
5052,Peyron_Conn35,44.21 ,41.65 ,1610,7.8993 
5053,Peyron_Conn36,44.21 ,41.65 ,1610,8.8780 
5054,Peyron_Conn37,44.21 ,41.65 ,1610,10.5497 
5055,Peyron_Conn38,44.21 ,41.65 ,1610,8.6379 
5056,Peyron_Conn39,44.17 ,41.66 ,1630,7.7664 
5057,Peyron_Conn4,43.93 ,41.32 ,2640,13.8421 
5058,Peyron_Conn40,44.17 ,41.66 ,1630,14.1750 
5059,Peyron_Conn41,44.17 ,41.66 ,1630,7.4027 
5060,Peyron_Conn42,43.70 ,41.33 ,2050,14.0084 
5061,Peyron_Conn43,43.70 ,41.33 ,2050,8.6273 
5062,Peyron_Conn44,43.70 ,41.33 ,2050,4.2675 
5063,Peyron_Conn45,43.70 ,41.33 ,2050,8.3202 
5064,Peyron_Conn5,43.93 ,41.32 ,2640,10.0225 
5065,Peyron_Conn6,43.93 ,41.32 ,2640,8.2101 
5066,Peyron_Conn7,44.68 ,41.81 ,1130,4.9761 
5067,Peyron_Conn8,44.68 ,41.81 ,1130,4.7072 
5068,Peyron_Conn9,44.68 ,41.81 ,1130,5.1909 
5069,Peyron_E194,121.37 ,63.49 ,120,52.9992 
5070,Peyron_E195,120.58 ,64.50 ,160,7.9546 
5071,Peyron_E197,124.07 ,57.02 ,700,38.9127 
5072,Peyron_E407,31.02 ,70.19 ,120,25.5690 
5073,Peyron_HJB10,30.76 ,69.60 ,261,27.9773 
5074,Peyron_HJB4,30.07 ,70.56 ,102,36.9384 
5075,Peyron_KA52,57.20 ,50.25 ,250,0.8000 
5076,Peyron_KA87,75.40 ,49.37 ,883,33.5521 
5077,Peyron_SU_01,35.00 ,68.02 ,161,29.9396 
5078,Peyron_SU_02,35.00 ,68.02 ,161,64.3724 
5079,Peyron_SU_1000,34.58 ,67.50 ,190,0.0000 
5080,Peyron_SU_1001,34.26 ,67.45 ,150,0.0000 
5081,Peyron_SU_1002,34.26 ,67.41 ,150,0.0000 
5082,Peyron_SU_1003,33.80 ,67.55 ,145,0.0000 
5083,Peyron_SU_1004,33.47 ,67.70 ,450,0.0000 
5084,Peyron_SU_1005,35.62 ,68.85 ,110,0.0000 
5085,Peyron_SU_1006,35.40 ,68.80 ,150,0.0000 
5086,Peyron_SU_1007,32.95 ,69.23 ,101,0.0000 
5087,Peyron_SU_1008,32.62 ,69.18 ,240,0.0000 
5088,Peyron_SU_1009,34.98 ,69.18 ,170,0.0000 
5089,Peyron_SU_1010,34.88 ,68.88 ,230,0.0000 
5090,Peyron_SU_1011,34.88 ,68.95 ,260,0.0000 
5091,Peyron_SU_1012,34.97 ,69.05 ,110,0.0000 
5092,Peyron_SU_1013,34.00 ,68.92 ,219,0.0000 
5093,Peyron_SU_1014,31.12 ,68.73 ,104,0.0000 
5094,Peyron_SU_1015,30.57 ,68.72 ,120,0.0000 
5095,Peyron_SU_1019,30.68 ,68.72 ,112,0.0000 
5096,Peyron_SU_1020,33.48 ,67.57 ,150,0.0000 
5097,Peyron_SU_1021,33.40 ,68.77 ,151,0.0000 
5098,Peyron_SU_1022,35.88 ,69.03 ,117,0.0000 
5099,Peyron_SU_1023,36.07 ,69.07 ,79,0.0000 
5100,Peyron_SU_1024,35.95 ,69.05 ,125,0.0000 
5101,Peyron_SU_1025,32.48 ,67.95 ,475,0.0000 
5102,Peyron_SU_1026,79.62 ,66.68 ,50,3.4391 
5103,Peyron_SU_1027,129.15 ,71.60 ,40,10.8692 
5104,Peyron_SU_1028,129.15 ,71.60 ,40,0.9240 
5105,Peyron_SU_1029,129.15 ,71.60 ,40,2.0790 
5106,Peyron_SU_1030,90.21 ,69.55 ,77,4.3949 
5107,Peyron_SU_1031,62.80 ,69.72 ,15,4.4180 
5108,Peyron_SU_1032,54.20 ,68.13 ,5,2.3940 
5109,Peyron_SU_1033,54.32 ,68.13 ,5,21.4582 
5110,Peyron_SU_1034,143.83 ,75.33 ,30,0.0000 
5111,Peyron_SU_1035,99.72 ,72.38 ,48,0.0000 
5112,Peyron_SU_1036,99.72 ,72.38 ,48,16.5627 
5113,Peyron_SU_1037,100.53 ,74.55 ,35,5.5381 
5114,Peyron_SU_1038,100.53 ,74.55 ,35,36.0463 
5115,Peyron_SU_1039,100.53 ,74.55 ,35,0.0000 
5116,Peyron_SU_1040,100.53 ,74.55 ,35,0.0000 
5117,Peyron_SU_1041,54.50 ,64.75 ,5,2.8390 
5118,Peyron_SU_1042,76.67 ,62.00 ,50,80.8200 
5119,Peyron_SU_1043,127.10 ,72.60 ,10,26.3223 
5120,Peyron_SU_1044,32.48 ,59.86 ,50,13.9771 
5121,Peyron_SU_1045,39.52 ,56.68 ,70,16.1940 
5122,Peyron_SU_1046,39.52 ,56.68 ,70,13.5761 
5123,Peyron_SU_1047,39.62 ,56.68 ,70,3.1730 
5124,Peyron_SU_1048,39.41 ,56.68 ,70,12.2608 
5125,Peyron_SU_1062,176.55 ,63.42 ,103,52.4135 
5126,Peyron_SU_1063,176.75 ,63.17 ,120,55.8800 
5127,Peyron_SU_1064,149.50 ,62.17 ,822,31.9153 
5128,Peyron_SU_1065,149.50 ,62.17 ,870,42.3164 
5129,Peyron_SU_1066,149.00 ,62.08 ,1040,35.1727 
5130,Peyron_SU_1067,149.00 ,62.10 ,1053,36.5903 
5131,Peyron_SU_1068,151.72 ,61.02 ,900,58.7146 
5132,Peyron_SU_1069,151.88 ,60.75 ,810,58.0392 
5133,Peyron_SU_1070,150.62 ,59.85 ,115,23.5907 
5134,Peyron_SU_1071,151.83 ,59.55 ,95,26.2057 
5135,Peyron_SU_1072,149.92 ,59.75 ,3,30.0463 
5136,Peyron_SU_1073,149.50 ,62.17 ,820,43.8769 
5137,Peyron_SU_1074,149.50 ,62.17 ,870,31.5517 
5138,Peyron_SU_1075,151.88 ,60.75 ,810,59.7170 
5139,Peyron_SU_1076,151.88 ,60.75 ,810,43.8266 
5140,Peyron_SU_1077,151.88 ,60.75 ,810,21.0742 
5141,Peyron_SU_1078,151.00 ,60.12 ,400,36.4307 
5142,Peyron_SU_1079,151.15 ,60.32 ,850,52.3225 
5143,Peyron_SU_1080,151.72 ,61.03 ,980,44.3304 
5144,Peyron_SU_1081,152.08 ,61.17 ,870,38.8486 
5145,Peyron_SU_1082,152.27 ,61.12 ,810,31.0060 
5146,Peyron_SU_1083,152.33 ,61.13 ,750,70.8460 
5147,Peyron_SU_1084,147.65 ,63.38 ,969,41.6020 
5148,Peyron_SU_1085,147.63 ,63.32 ,850,24.5670 
5149,Peyron_SU_1086,148.20 ,64.18 ,850,32.8343 
5150,Peyron_SU_1087,144.93 ,64.30 ,700,18.7370 
5151,Peyron_SU_1088,144.90 ,64.30 ,700,39.4306 
5152,Peyron_SU_1089,143.78 ,64.50 ,550,48.7955 
5153,Peyron_SU_1090,141.12 ,64.77 ,800,34.7270 
5154,Peyron_SU_1091,145.16 ,64.22 ,800,29.5833 
5155,Peyron_SU_1092,151.73 ,62.65 ,790,18.7234 
5156,Peyron_SU_1093,149.20 ,62.32 ,340,31.8570 
5157,Peyron_SU_1094,172.08 ,67.50 ,490,10.0530 
5158,Peyron_SU_1095,172.08 ,67.50 ,490,20.0852 
5159,Peyron_SU_1096,172.08 ,67.50 ,490,14.9950 
5160,Peyron_SU_1097,152.32 ,60.13 ,480,45.0384 
5161,Peyron_SU_1098,152.10 ,59.95 ,660,59.1992 
5162,Peyron_SU_1099,151.83 ,59.00 ,700,62.1846 
5163,Peyron_SU_1100,151.85 ,59.02 ,580,76.6955 
5164,Peyron_SU_1101,175.52 ,64.78 ,32,12.6251 
5165,Peyron_SU_1102,175.30 ,64.82 ,36,7.5412 
5166,Peyron_SU_1103,175.25 ,64.83 ,36,23.4067 
5167,Peyron_SU_1104,174.63 ,64.77 ,30,9.5080 
5168,Peyron_SU_1105,177.17 ,64.50 ,55,6.5069 
5169,Peyron_SU_1106,150.65 ,59.57 ,309,41.6396 
5170,Peyron_SU_1107,151.25 ,59.68 ,35,20.0222 
5171,Peyron_SU_1108,151.33 ,59.60 ,6,12.7111 
5172,Peyron_SU_1109,151.33 ,59.60 ,6,7.7349 
5173,Peyron_SU_1110,124.20 ,73.33 ,35,4.8680 
5174,Peyron_SU_120,114.12 ,48.22 ,800,12.9797 
5175,Peyron_SU_121,116.88 ,47.22 ,660,13.7473 
5176,Peyron_SU_122,117.75 ,47.67 ,600,4.4419 
5177,Peyron_SU_124,118.88 ,47.53 ,700,15.2760 
5178,Peyron_SU_125,119.77 ,46.72 ,1050,16.8570 
5179,Peyron_SU_126,118.70 ,47.48 ,710,7.7731 
5180,Peyron_SU_13,34.47 ,65.83 ,10,46.7585 
5181,Peyron_SU_14,32.98 ,65.12 ,100,67.7040 
5182,Peyron_SU_15,32.98 ,65.12 ,100,67.3767 
5183,Peyron_SU_16,32.98 ,65.12 ,100,55.2649 
5184,Peyron_SU_163,39.48 ,57.17 ,93,48.8935 
5185,Peyron_SU_164,39.48 ,57.17 ,93,69.6000 
5186,Peyron_SU_165,39.48 ,57.17 ,93,28.4141 
5187,Peyron_SU_166,39.48 ,57.17 ,93,38.3384 
5188,Peyron_SU_167,39.48 ,57.17 ,93,20.1000 
5189,Peyron_SU_168,39.48 ,57.17 ,93,26.5937 
5190,Peyron_SU_169,39.48 ,57.17 ,93,45.6545 
5191,Peyron_SU_17,32.63 ,65.12 ,110,56.6670 
5192,Peyron_SU_170,39.48 ,57.17 ,93,35.7716 
5193,Peyron_SU_171,39.48 ,57.17 ,93,49.1385 
5194,Peyron_SU_172,39.48 ,57.17 ,93,56.7674 
5195,Peyron_SU_173,39.48 ,57.17 ,93,24.6712 
5196,Peyron_SU_174,39.48 ,57.17 ,93,11.1677 
5197,Peyron_SU_175,39.48 ,57.17 ,93,1.4010 
5198,Peyron_SU_176,39.48 ,57.17 ,93,12.7000 
5199,Peyron_SU_177,67.80 ,54.15 ,90,4.2931 
5200,Peyron_SU_178,70.58 ,52.88 ,382,19.9802 
5201,Peyron_SU_179,70.93 ,51.93 ,370,18.6052 
5202,Peyron_SU_18,43.33 ,64.67 ,65,54.3806 
5203,Peyron_SU_180,67.83 ,53.75 ,156,13.2399 
5204,Peyron_SU_181,66.85 ,52.95 ,235,27.9307 
5205,Peyron_SU_182,69.25 ,54.08 ,123,6.2562 
5206,Peyron_SU_183,69.35 ,53.32 ,223,4.5940 
5207,Peyron_SU_184,73.42 ,53.33 ,64,3.4140 
5208,Peyron_SU_185,67.93 ,51.58 ,260,4.9230 
5209,Peyron_SU_186,67.32 ,50.90 ,270,1.2550 
5210,Peyron_SU_187,68.90 ,50.47 ,304,0.3000 
5211,Peyron_SU_188,69.31 ,50.68 ,304,0.6020 
5212,Peyron_SU_189,69.14 ,50.37 ,307,1.2050 
5213,Peyron_SU_19,36.42 ,63.57 ,230,57.4070 
5214,Peyron_SU_190,66.33 ,43.88 ,59,1.3141 
5215,Peyron_SU_191,62.00 ,46.17 ,59,0.5090 
5216,Peyron_SU_192,63.95 ,45.58 ,90,1.9530 
5217,Peyron_SU_193,64.58 ,45.17 ,110,2.1690 
5218,Peyron_SU_194,74.62 ,45.02 ,342,0.3010 
5219,Peyron_SU_195,73.66 ,45.42 ,342,0.3010 
5220,Peyron_SU_196,75.40 ,46.67 ,342,6.6670 
5221,Peyron_SU_197,80.74 ,46.67 ,350,0.0000 
5222,Peyron_SU_198,81.32 ,46.40 ,346,0.3040 
5223,Peyron_SU_199,81.65 ,45.93 ,343,2.3190 
5224,Peyron_SU_20,33.02 ,63.50 ,150,41.0470 
5225,Peyron_SU_200,70.70 ,43.42 ,400,0.4020 
5226,Peyron_SU_201,70.72 ,43.12 ,438,0.0000 
5227,Peyron_SU_202,76.24 ,42.43 ,1608,0.0000 
5228,Peyron_SU_203,78.12 ,42.56 ,1608,0.0000 
5229,Peyron_SU_204,85.67 ,48.80 ,1449,18.5670 
5230,Peyron_SU_205,69.25 ,54.52 ,140,9.7168 
5231,Peyron_SU_206,68.42 ,54.37 ,125,1.2870 
5232,Peyron_SU_207,69.33 ,53.83 ,175,10.2748 
5233,Peyron_SU_208,70.58 ,52.53 ,505,26.1137 
5234,Peyron_SU_209,70.67 ,52.83 ,400,68.9366 
5235,Peyron_SU_21,36.02 ,62.93 ,150,55.0149 
5236,Peyron_SU_210,70.68 ,52.85 ,400,59.9812 
5237,Peyron_SU_211,73.20 ,51.58 ,450,10.4290 
5238,Peyron_SU_212,67.83 ,54.20 ,150,14.3081 
5239,Peyron_SU_213,69.67 ,54.20 ,140,6.5240 
5240,Peyron_SU_214,67.00 ,53.88 ,160,9.2761 
5241,Peyron_SU_215,66.77 ,53.78 ,160,11.5810 
5242,Peyron_SU_216,67.45 ,53.75 ,150,10.0319 
5243,Peyron_SU_217,69.38 ,53.33 ,240,2.3090 
5244,Peyron_SU_218,71.00 ,52.00 ,370,1.0100 
5245,Peyron_SU_219,71.00 ,51.67 ,370,6.2369 
5246,Peyron_SU_22,36.03 ,62.93 ,148,37.6660 
5247,Peyron_SU_220,71.50 ,51.17 ,350,2.1630 
5248,Peyron_SU_221,67.23 ,51.20 ,260,0.0000 
5249,Peyron_SU_222,72.88 ,50.08 ,500,0.3090 
5250,Peyron_SU_223,66.22 ,52.00 ,220,7.1358 
5251,Peyron_SU_224,67.92 ,50.58 ,280,1.3360 
5252,Peyron_SU_225,75.08 ,51.08 ,300,2.2400 
5253,Peyron_SU_226,72.88 ,49.17 ,650,0.4050 
5254,Peyron_SU_227,80.33 ,49.83 ,400,1.7330 
5255,Peyron_SU_228,57.20 ,50.25 ,250,0.8060 
5256,Peyron_SU_229,69.00 ,50.67 ,330,0.0000 
5257,Peyron_SU_23,33.57 ,62.82 ,157,68.2723 
5258,Peyron_SU_230,69.67 ,50.67 ,320,0.5000 
5259,Peyron_SU_231,69.92 ,50.22 ,330,3.2160 
5260,Peyron_SU_232,72.22 ,50.83 ,470,1.0590 
5261,Peyron_SU_233,80.43 ,47.92 ,650,0.7060 
5262,Peyron_SU_234,57.92 ,50.28 ,430,0.9070 
5263,Peyron_SU_235,71.67 ,48.67 ,480,1.6110 
5264,Peyron_SU_236,72.83 ,48.25 ,700,1.2220 
5265,Peyron_SU_237,66.05 ,47.83 ,370,0.0000 
5266,Peyron_SU_238,70.00 ,48.38 ,400,0.9370 
5267,Peyron_SU_239,74.05 ,47.98 ,800,0.7210 
5268,Peyron_SU_24,33.20 ,62.80 ,160,50.4070 
5269,Peyron_SU_240,66.75 ,47.83 ,500,0.3070 
5270,Peyron_SU_241,77.50 ,47.00 ,550,0.7210 
5271,Peyron_SU_242,73.80 ,46.37 ,350,0.0000 
5272,Peyron_SU_243,67.67 ,47.80 ,350,0.7150 
5273,Peyron_SU_244,50.33 ,44.50 ,50,0.0000 
5274,Peyron_SU_245,78.95 ,46.25 ,450,1.3120 
5275,Peyron_SU_246,73.67 ,45.42 ,350,0.0000 
5276,Peyron_SU_247,52.17 ,47.17 ,-20,0.6040 
5277,Peyron_SU_248,52.08 ,47.33 ,-20,0.0000 
5278,Peyron_SU_249,69.92 ,43.75 ,330,1.0940 
5279,Peyron_SU_25,33.20 ,62.80 ,160,60.9472 
5280,Peyron_SU_250,70.92 ,42.73 ,950,0.3140 
5281,Peyron_SU_251,71.25 ,42.83 ,650,0.0000 
5282,Peyron_SU_252,76.33 ,43.60 ,600,0.3010 
5283,Peyron_SU_253,76.83 ,43.35 ,700,0.0000 
5284,Peyron_SU_254,85.50 ,48.75 ,1700,16.9120 
5285,Peyron_SU_255,85.67 ,48.83 ,1700,9.6460 
5286,Peyron_SU_256,76.33 ,42.30 ,1700,0.0000 
5287,Peyron_SU_257,83.08 ,48.25 ,400,0.0000 
5288,Peyron_SU_258,80.47 ,50.42 ,210,8.1608 
5289,Peyron_SU_259,70.40 ,53.18 ,239,29.6710 
5290,Peyron_SU_26,33.20 ,62.80 ,160,58.4346 
5291,Peyron_SU_260,70.22 ,53.03 ,435,46.7530 
5292,Peyron_SU_261,70.23 ,53.03 ,436,35.2000 
5293,Peyron_SU_262,75.40 ,49.37 ,871,41.5000 
5294,Peyron_SU_263,75.40 ,49.37 ,872,33.3997 
